t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,69,3765854312,51958914039
1.0,69,3794739352,53111547243
2.0,69,3789217944,53837297666
3.0,71,3811894216,54852183082
4.1,71,3879873664,57061076078
5.2,72,4009685560,59854323410
6.2,72,4036342472,61712437072
7.2,72,4057903888,62551186164
8.2,72,4078433088,63613756159
9.2,75,4132698816,65074509281
10.5,94,4643140352,69205647231
11.7,90,4868574768,73859630023
12.8,98,5197428304,78513881895
13.8,95,5132642800,80938085567
15.6,102,5411718000,86808218558
17.7,104,5672143264,96656285683
18.8,105,5879045432,102729527016
19.8,104,5858351360,105289266555
20.8,104,5845490016,106284872807
21.8,104,5844212064,106672937638
22.9,104,5807315296,107842858809
24.0,104,5806823872,108743032014
25.0,104,5796501952,109636156892
26.0,104,5798009280,110606124349
27.0,103,5746365568,110297767635
28.0,103,5746136192,110572355520
29.0,103,5735617664,111204978056
30.1,103,5727802496,111810521515
31.1,103,5735879832,113157221562
32.1,104,5788096960,115063171060
33.8,107,5956626528,120896824553
34.9,107,5972699496,124734985470
35.9,107,5976812048,125918391390
36.9,107,5969472040,126892779183
37.9,107,5969635880,127226804307
38.9,107,5972093480,127849476642
39.9,107,5968259648,128250031141
41.0,107,5966867008,128542406808
42.0,107,5965867584,128830434975
43.0,107,5965933120,129155012472
44.0,102,5787078920,127818239139
45.0,102,5782819080,128080781433
46.0,102,5782901000,128335632392
47.0,102,5783638280,128599068596
48.0,102,5782098184,128926607101
49.0,102,5781213448,129165504476
50.0,102,5781377288,129407323723
51.1,102,5781442824,129666747974
52.1,102,5781410056,129910589599
53.1,102,5781410056,130191840059
54.1,102,5781442824,130442551099
55.1,102,5781442824,130685148140
56.1,102,5781164296,130957954309
57.2,102,5760340256,132113540389
58.2,102,5762519328,132464022013
59.2,102,5763535160,132798185180
60.2,102,5763617080,133101531932
61.2,102,5761863992,133364674434
62.2,102,5761913144,133579277347
63.2,102,5761814840,133827570176
64.2,102,5761241400,134095825889
65.2,102,5760930104,134342465695
66.2,102,5760979256,134620847885
67.2,102,5767565696,135736232972
68.2,102,5762388352,136138101480
69.2,102,5762257280,136652022636
70.3,102,5761388928,137203109685
71.3,102,5761667456,137494673764
72.3,102,5758095744,137761893553
73.3,102,5758144896,138063105266
74.3,102,5758194048,138362339182
75.3,102,5758226816,138662405105
76.3,102,5759848832,138985328688
77.3,102,5760160128,139440860640
78.3,102,5761569224,139993968604
79.3,102,5761864184,140390934849
80.3,102,5734978376,142288197019
81.4,102,5732406136,142929803228
82.4,102,5735208088,144690301356
83.4,102,5749216456,145519032893
84.4,103,5789129416,146535243392
85.4,103,5789621152,147512182147
86.4,103,5786164128,147871206683
87.4,103,5786639264,148312760398
88.4,103,5786147744,148953177432
89.5,104,5847752952,150158809599
90.5,103,5839150176,150718801851
91.5,103,5900000544,153068345224
92.5,103,5893741928,153615148680
93.5,103,5894528360,154187814512
94.5,103,5885156712,154812526425
95.5,103,5927738752,156459121049
96.5,103,6164881080,159857390471
97.5,103,6223847192,161925148764
98.5,104,6298903712,162919647066
99.5,104,6251111656,163951577183
100.6,103,6211182528,164198769349
101.6,103,6199451632,164811005513
102.6,103,6196158472,165605628887
103.6,103,6206349320,166194785973
104.6,103,6204497952,166909413600
105.6,103,6202564640,167354436560
106.6,103,6178496616,168235987642
107.7,103,6179233896,168840740891
108.7,103,6180806760,169237014727
109.7,103,6175072408,169740661312
110.7,103,6162145432,170285121268
111.7,103,6155985096,170913976560
112.7,103,6148464840,171185998850
113.7,103,6149300424,171522979851
114.7,105,6150038904,172155088388
115.7,105,6133507472,172801871516
116.7,105,6132786576,172983171721
117.7,105,6132802960,173181208220
118.7,103,6125969608,173368622599
119.8,103,6122774752,173740131928
120.8,103,6099362016,174057344762
121.8,103,6070329568,174761536267
122.8,103,6070100192,175049757260
123.8,103,6064431328,175417551892
124.8,103,6063136992,175684814258
125.8,103,6058123536,176160453053
126.8,103,6045851992,177293683477
127.8,103,6026535184,178045791259
128.8,103,6025240848,178411661426
129.8,103,6025208080,178839671265
130.8,103,6028976400,179265125430
131.8,103,6031810880,179619388266
132.9,103,6035333608,180317512928
133.9,103,6036169192,180692465677
134.9,103,6041657832,182090682341
135.9,103,6042034664,182657906595
136.9,104,6065907424,184426245763
138.0,104,6064416528,184979123221
139.0,104,6072805232,185543175474
140.0,104,6085355400,186393415440
141.0,104,6061631344,186706164274
142.0,104,6061631344,186980864862
143.1,104,6063040392,187517387270
144.1,104,6063531912,187896275685
145.1,105,6062811184,188236189314
146.1,105,6067415160,188648884813
147.1,106,6093581536,189365102308
148.2,106,6077918432,189907103894
149.2,106,6097104504,191409459297
150.2,107,6120353736,192063818217
151.2,107,6126432200,193074554055
152.2,107,6133510112,193821146474
153.2,107,6144061432,194988390557
154.2,107,6156480480,196030677682
155.2,107,6145863648,197223130096
156.2,107,6125875216,198135464308
157.2,107,6138572840,198949761640
158.3,107,6103740480,200242295806
159.3,107,6097973432,201496851597
160.3,107,6083244216,202520075052
161.3,107,6088044752,203470488011
162.3,107,6044348624,204626538890
163.3,107,6058537144,205566702888
164.3,104,5920990440,202712224307
165.3,104,5917664512,203311606475
166.3,104,5919417600,203795324559
167.3,104,5918877000,204043141808
168.3,104,5919024456,204498685268
169.3,104,5916452048,205104690176
170.3,104,5917107408,205462531051
171.4,104,5917123792,205885267176
172.4,104,5916992720,206441713342
173.4,104,5910848720,206693130217
174.4,104,5909931216,206915560384
175.4,104,5909914832,207148654553
176.4,104,5909800144,207345362179
177.4,104,5908685936,207575425469
178.4,104,5908735088,207746289302
179.4,104,5908407456,207980176469
180.4,104,5908374688,208207094183
181.4,104,5906195640,208507518972
182.4,104,5906064592,208757513974
183.4,104,5906064592,208944817850
184.4,104,5905523920,209156641100
185.5,104,5902345424,209422619720
186.5,104,5901051112,209660983347
187.5,104,5899183336,209885394685
188.5,104,5899117800,210111097681
189.5,104,5897954584,210492159554
190.5,104,5897938200,210696353761
191.5,104,5897954584,210927240845
192.5,104,5897938200,211168044179
193.5,104,5897954584,211394296139
194.5,104,5898380568,211786016560
195.6,104,5897086280,212051732892
196.6,104,5899183432,212666827259
197.6,104,5897430344,212869567804
198.6,104,5897463112,213090553137
199.6,104,5897921864,213300958559
200.6,104,5897921864,213529148226
201.6,104,5898052936,213725308182
202.6,104,5898085704,213931204394
203.6,104,5910635848,214511201147
204.6,104,5908522312,214723702852
205.6,104,5905392968,214888555433
206.6,104,5905163592,215063795599
207.6,104,5905261896,215253589765
208.7,104,5899052480,215527488724
209.7,104,5895906752,215845676895
210.7,104,5895906752,216000372060
211.7,104,5893481920,216217646679
212.7,104,5905999320,216658416307
213.7,104,5904328152,216895359392
214.7,104,5908260336,217251395598
215.7,104,5907719664,217439969223
216.7,104,5906753008,217627251346
217.7,104,5901215216,217777427012
218.7,104,5901231600,217934837596
219.7,104,5897070064,218132719551
220.7,104,5896873456,218304174806
221.8,104,5896873456,218497545887
222.8,104,5896185352,218727993516
223.8,104,5896300040,218929427431
224.8,104,5896267272,219133133515
225.8,104,5896283656,219316326639
226.8,104,5897152032,219511660139
227.8,104,5896480288,219700900638
228.8,104,5895939640,219907808306
229.8,104,5895546448,220141733224
230.8,104,5895546448,220355392391
231.8,104,5893498448,220620910562
232.8,104,5892712040,220840557097
233.8,104,5890549352,221089549264
234.9,104,5890565736,221265678806
235.9,104,5889517184,221459903678
236.9,104,5887501976,221698547974
237.9,104,5887534744,221899002677
238.9,104,5886764600,222119607927
239.9,104,5886764600,222318623136
240.9,104,5885175376,222555743053
241.9,104,5885191760,222740762800
242.9,104,5885191760,222909498307
243.9,104,5883831888,223147434473
244.9,104,5883815504,223362634639
245.9,104,5883946624,223559865140
246.9,104,5883946624,223747365889
247.9,104,5882537600,223943606141
248.9,104,5882488448,224146704019
250.0,104,5880735360,224461551431
251.0,104,5880735360,224650530678
252.0,104,5880817280,224846502175
253.0,104,5881833088,225125950047
254.0,104,5881177752,225345235383
255.0,104,5881046680,225577164386
256.0,104,5881063064,225798243053
257.0,104,5881063064,226230312352
258.0,104,5881079448,226422645685
259.0,104,5881243288,226632343723
260.0,104,5881292440,226854348519
261.0,104,5881374360,227122457141
262.0,104,5877966488,227540883890
263.0,104,5897741976,227975628349
264.1,104,5897889432,228178007472
265.1,104,5894055576,228379294098
266.1,104,5894645400,228608239015
267.1,104,5893547672,228841649597
268.1,104,5893514904,229098165385
269.1,104,5887190680,229301330843
270.1,104,5887354520,229546949270
271.1,104,5884012280,229794041227
272.1,104,5889631992,230203508480
273.1,104,5901854456,230515737353
274.1,104,5906425712,231058310354
275.1,104,5905770352,231278078853
276.2,104,5906278256,231531472145
277.2,104,5905819504,231803189108
278.2,104,5900412784,232044580480
279.2,104,5900429168,232261289360
280.2,104,5896169328,232479079943
281.2,104,5896021872,232696766066
282.2,104,5896038256,232888607604
283.2,104,5896120176,233384345017
284.2,104,5892597616,233931487642
285.2,104,5883029360,234342019809
286.2,104,5882767216,234919329477
287.2,104,5883406192,235219041307
288.3,104,5883438960,235408291516
289.3,104,5882783600,235620197015
290.3,104,5882783600,235827401721
291.3,104,5882799984,236009510764
292.3,104,5882586992,236228564559
293.3,104,5878720368,236464671140
294.3,104,5878769520,236700844889
295.3,104,5878769520,236862941723
296.3,104,5878802312,237065237350
297.4,104,5878884232,237316200096
298.5,104,5878998920,237590615595
299.7,104,5879818120,239474232967
301.0,103,5834940928,241898037056
302.0,103,5835809304,242042920390
303.0,103,5823128088,242159977763
304.2,103,5821637120,242731352597
305.2,103,5814870528,242794710264
306.2,103,5814723072,242856284305
307.2,103,5802287400,243188986474
308.2,103,5802058024,243302882849
309.2,103,5802074408,243421522596
310.2,98,5637703448,241806736563
311.2,78,4875509632,226033651574
312.3,77,4839103016,225287520699
313.3,77,4824324648,225525543409
314.3,77,4824357416,225534433577
315.3,77,4824439336,225567553778
316.3,77,4824603176,225648304947
317.3,77,4823243304,225713706533
318.3,77,4823390760,225734231704
319.3,77,4823390760,225752655286
320.3,77,4823456296,225794008785
321.3,77,4821752360,225832098075
322.3,77,4821752360,225844894327
323.3,77,4841380392,226188509368
324.3,77,4841544232,226276368950
325.4,77,4825307688,226297426410
326.4,77,4827339400,226389993284
327.4,77,4827339400,226398683991
328.4,77,4816345736,226422535577
329.4,77,4816067208,226512630869
