t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,101,5598609040,78389913014
1.0,98,5544326568,79199805137
2.0,98,5544277416,79597024805
3.0,99,5574687296,80395211142
4.0,98,5543409064,80882103351
5.0,98,5543589288,81153918517
6.0,98,5539165704,82349240401
7.1,98,5569132088,83491433355
8.1,98,5575161400,84762768316
9.1,98,5570098744,85160269187
10.1,98,5570197072,85441051353
11.1,98,5557155408,85817566225
12.1,98,5552518736,86130941385
13.1,98,5523863144,87077595762
14.2,98,5524436632,88120431481
15.3,99,5517326408,90174775387
16.4,100,5596774752,92173741479
17.8,101,5720998576,94774432062
18.9,103,5812359120,96803501974
19.9,103,5803855848,97320421517
20.9,103,5792485400,98428831767
21.9,103,5785243672,99049722427
22.9,103,5733781528,99542138469
23.9,103,5736976408,100433614680
25.0,104,5771826424,102009982343
26.0,104,5773169864,102901631172
27.0,104,5772547272,103487339342
28.0,104,5771990216,104043332711
29.0,104,5770073288,104601175879
30.0,104,5775906064,106066070891
31.1,104,5771171088,106508466309
32.1,104,5768238376,107214821061
33.1,103,5735878776,108569532425
34.1,103,5746331768,109091666218
35.1,103,5739761784,109725764476
36.1,103,5743808848,111026644477
37.1,103,5742874960,111612640262
38.1,103,5743464808,112287031598
39.2,103,5736698192,113249630764
40.2,103,5738221928,113804576802
41.2,103,5730439528,114336277556
42.2,103,5739696584,115970643429
43.2,103,5740286432,117133920347
44.2,103,5744218568,118039097516
45.2,103,5747347960,119008735681
46.2,104,5746840416,120295196010
47.2,103,5734142480,120903724972
48.2,103,5694116392,121421227810
49.2,100,5605426152,121845599182
50.2,100,5606228968,122237329680
51.2,100,5594432488,122691549141
52.3,100,5584700416,123163738348
53.3,100,5581800544,123817218474
54.3,100,5580358752,124073056311
55.3,100,5579162720,124387173060
56.3,100,5639161264,125824109310
57.3,100,5744248288,127422162264
58.3,100,5748819424,127675589511
59.3,100,5747131872,128006718636
60.3,100,5747279328,128450380845
61.3,100,5765973568,129274797390
62.3,100,5780260416,129608723886
63.4,100,5778572912,130420879012
64.4,100,5778409072,130818536933
65.4,100,5778638472,131239647309
66.4,100,5772199560,131868888640
67.4,100,5727618696,133029121977
68.4,100,5695784584,134320003229
69.4,100,5613291192,135084514187
70.4,100,5550573240,136468535725
71.4,100,5501044408,137524261515
72.4,100,5505287960,138243280687
73.4,100,5505861400,138731574938
74.4,100,5506500376,139119776231
75.5,100,5506336584,140027558096
76.5,100,5507401544,140543466430
77.5,100,5611472712,141558548600
78.6,100,5575804744,141971395221
79.6,100,5567711048,142515819306
80.6,101,5588535736,143621231470
81.6,101,5603117496,144345214176
82.6,101,5602593232,145082017886
83.6,101,5606935016,145987345140
84.6,102,5718577056,147105560888
85.6,102,5788307360,148648792019
86.7,102,5777543120,149506459560
87.7,102,5869834288,150702289807
88.7,102,5865246816,151844147931
89.7,102,5863821408,152602037307
90.7,102,5883744376,154182844093
91.7,102,5869080696,154959606433
92.7,102,5902110864,155906878556
