t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,11,550478968,9150275994
1.0,11,550478968,9150349869
2.0,11,550610040,9160215660
3.0,11,550610040,9160215660
4.0,11,550610040,9160340160
5.0,11,550577272,9164312034
6.0,11,550577272,9165607993
7.0,11,550577272,9172924659
8.1,11,550577272,9174405242
9.1,11,550560888,9176606618
10.1,11,550544504,9178801117
11.1,11,550560888,9182945867
12.1,11,550560888,9189347534
13.1,11,550560888,9189397826
14.1,11,550560888,9189397826
15.1,11,550560888,9189397826
16.1,11,550544504,9189523660
17.1,11,550544504,9198108035
18.1,11,550544504,9198108035
19.1,11,550446200,9202142327
20.1,11,550446200,9202343368
21.1,11,550446200,9202343368
22.1,11,550446200,9211163327
23.1,11,550446200,9211163327
24.1,11,550446200,9211163327
25.1,11,550446200,9211232534
26.1,11,550446200,9211232534
27.2,11,550446200,9215689700
28.2,11,550446200,9215724534
29.2,11,550462584,9217042992
30.2,11,550462584,9217104408
31.2,11,550462584,9217104408
32.2,11,550462584,9224755450
33.2,11,550462584,9224870951
34.2,11,550462584,9224870951
35.2,11,550462584,9224870951
36.2,11,550462584,9224928868
37.2,11,550462584,9230317618
38.2,11,550462584,9230317618
39.2,11,550446200,9230558701
40.2,11,550446200,9230558701
41.2,11,550544504,9234985493
42.3,11,550544504,9235055660
43.3,11,550544504,9235055660
44.3,11,550544504,9235055660
45.3,11,550544504,9235121409
46.3,11,550544504,9239788576
47.3,11,550544504,9239788576
48.3,11,550544504,9239876118
49.3,11,550544504,9239876118
50.3,11,550544504,9239876118
51.3,11,550544504,9245287452
52.3,11,550544504,9245287452
53.3,11,550544504,9245287452
54.3,11,550544504,9245335244
55.3,11,550544504,9245335244
56.3,11,550544504,9249709161
57.4,11,550495352,9252446535
58.4,11,550495352,9252446535
59.4,11,550495352,9252446535
60.4,11,550495352,9252515160
61.4,11,550495352,9257536159
62.4,11,550495352,9257536159
63.4,11,550495352,9257615909
64.4,11,550495352,9257615909
65.4,11,550495352,9257615909
66.4,11,550495352,9263725492
67.4,11,550495352,9263725492
68.4,11,550495352,9263725492
69.4,11,550495352,9263770618
70.4,11,550495352,9263770618
71.4,11,550511736,9275520326
72.4,11,550511736,9277472034
73.5,11,550511736,9278611326
74.5,11,550511736,9279954909
75.5,11,550511736,9284664368
76.5,11,550511736,9289442285
77.5,11,550265976,9297221367
78.5,11,549758072,9305743909
79.5,11,549545080,9309050243
80.5,11,549528696,9309117076
81.5,11,549528696,9319560493
82.5,11,549528696,9319560493
83.5,11,549528696,9319560493
84.5,11,549528696,9319634910
85.5,11,549528696,9319634910
86.5,11,549528696,9325872076
87.5,11,549414008,9330526451
88.6,11,549217400,9336496243
89.6,11,549217400,9336784076
90.6,11,549217400,9336824493
91.6,11,549217400,9342157952
92.6,11,549217400,9342157952
93.6,11,549217400,9342226076
94.6,11,549217400,9342226076
95.6,11,549217400,9342226076
96.6,11,549217400,9347461910
97.6,11,549217400,9347461910
98.6,11,549217400,9347461910
99.6,11,549201016,9347655578
100.6,11,549201016,9347655578
101.6,11,549201016,9357051202
102.6,11,549201016,9357102243
103.6,11,549201016,9357102243
104.7,11,549201016,9357102243
105.7,11,549201016,9357146701
106.7,11,549201016,9363191159
107.7,11,549201016,9363191159
108.7,11,549201016,9363231868
109.7,11,549201016,9363231868
110.7,11,549201016,9363231868
111.7,11,549201016,9367612785
112.7,11,549201016,9367612785
113.7,11,549201016,9367612785
114.7,11,549201016,9367886284
115.7,11,549201016,9367886284
116.7,11,549201016,9374725034
117.7,11,549168248,9379821827
118.7,11,549168248,9379821827
119.8,11,549168248,9379821827
120.8,11,549168248,9380201659
121.8,11,549168248,9388822326
122.8,11,549168248,9388822326
123.8,11,549168248,9389112368
124.8,11,549168248,9389112368
125.8,11,549168248,9389112368
126.8,11,549168248,9394743993
127.8,11,549168248,9394743993
128.8,11,549168248,9394743993
129.8,11,549168248,9394783952
130.8,11,549168248,9394783952
131.8,11,549168248,9403401951
132.8,11,549168248,9403530909
133.8,11,549168248,9403530909
134.8,11,549168248,9403530909
135.9,11,549168248,9403615951
136.9,11,549168248,9410761160
137.9,11,549168248,9411308494
138.9,11,549069944,9416015784
139.9,11,549069944,9416076951
140.9,11,549069944,9416301659
141.9,11,549069944,9424782909
142.9,11,549069944,9424782909
143.9,11,549069944,9424782909
144.9,11,549053560,9425001493
145.9,11,549053560,9425001493
146.9,11,549053560,9430060451
147.9,11,549053560,9430101617
148.9,11,549037176,9433604617
149.9,11,549037176,9434155992
150.9,11,549037176,9434219701
151.9,11,549037176,9442804160
153.0,11,549037176,9442804160
154.0,11,549037176,9442881577
155.0,11,549037176,9442881577
156.0,11,549037176,9442881577
157.0,11,549037176,9451354243
158.0,11,535782520,9451354243
159.0,11,535782520,9451354243
160.0,11,535766136,9451901119
161.0,11,535078008,9451901119
162.0,11,533030008,9476702161
163.0,11,533079160,9482659035
164.0,11,533095544,9482659035
165.0,11,533095544,9482659035
166.0,11,533095544,9482853534
167.0,11,532980856,9500945117
168.0,11,532931704,9501805283
169.1,11,532931704,9501841617
170.1,11,532931704,9501841617
171.1,11,532931704,9501841617
172.1,11,532931704,9511224867
173.1,11,532915320,9511312993
174.1,11,532915320,9511312993
175.1,11,532915320,9511391077
176.1,11,532915320,9511391077
177.1,11,532915320,9515639661
178.1,11,532915320,9515674369
179.1,11,532915320,9515674369
180.1,11,532931704,9523052577
181.1,11,532931704,9524864784
182.1,11,532931704,9532933825
183.1,11,532931704,9533909117
184.1,11,532931704,9534652951
185.2,11,532898936,9535770492
186.2,11,532898936,9537680660
187.2,11,532898936,9546399202
188.2,11,532898936,9547411202
189.2,11,532898936,9548621202
190.2,11,532898936,9549472701
191.2,11,532898936,9552003160
192.2,11,532898936,9561442368
193.2,11,532898936,9564056035
194.2,11,532915320,9568677826
195.2,11,532915320,9568797867
196.2,11,532915320,9573597575
197.2,11,532374648,9594712201
198.2,11,530244728,9610758117
199.2,11,529851512,9612903534
200.3,11,529851512,9612903534
201.3,11,529589368,9623969784
202.3,11,529704056,9649108451
203.3,11,529704056,9649108451
204.3,11,529704056,9649164076
205.3,11,529704056,9649164076
206.3,11,529687672,9655951160
207.3,11,529507448,9659314701
208.3,11,527557752,9670086410
209.3,11,527033464,9671386618
210.3,11,527033464,9671454951
211.3,11,526722168,9685648827
212.3,11,526722168,9686513117
213.3,11,526722168,9686592784
214.3,11,526722168,9686592784
215.3,11,526722168,9686592784
216.4,11,526722168,9692873119
217.4,11,526722168,9692873119
218.4,11,526722168,9692873119
219.4,11,526722168,9692917493
220.4,11,526722168,9692917493
221.4,11,526722168,9696966826
222.4,11,526705784,9697374742
223.4,11,526705784,9697374742
224.4,11,526705784,9697374742
225.4,11,526705784,9697414951
226.4,11,526705784,9702275867
227.4,11,526705784,9702275867
228.4,11,526066808,9704774451
229.4,11,526066808,9704774451
230.4,11,526066808,9704774451
231.4,11,526066808,9712493327
232.4,11,526066808,9712493327
233.4,11,526066808,9712493327
234.5,11,526066808,9712559619
235.5,11,526066808,9712559619
236.5,11,526066808,9718581369
237.5,11,526066808,9718654702
238.5,11,526066808,9718654702
239.5,11,526066808,9718654702
240.5,11,526328952,9728902119
241.5,11,526410872,9740751577
242.5,11,526361720,9741046786
243.5,11,526361720,9741662244
244.5,11,526361720,9741662244
245.5,11,526361720,9741662244
246.5,11,526296184,9751724951
247.5,11,526296184,9751724951
248.5,11,526296184,9751724951
249.5,11,526296184,9751773368
250.5,11,526296184,9751773368
251.5,11,526296184,9757732535
252.6,11,526279800,9758071785
253.6,11,526443640,9768697702
254.6,11,526197880,9769574410
255.6,11,526263416,9769934118
256.6,11,526263416,9777657701
257.6,11,526263416,9777657701
258.6,11,526165112,9785506618
259.6,11,526165112,9785506618
260.6,11,526165112,9785506618
261.6,11,526115960,9795190451
262.6,11,526165112,9797054951
263.6,11,526148728,9797992993
264.6,11,526083192,9799559911
265.6,11,526083192,9799559911
266.6,11,526099576,9807659827
267.6,11,526099576,9807804951
268.6,11,526083192,9810132659
269.7,11,526083192,9810396118
270.7,11,526083192,9810518119
271.7,11,526099576,9818351619
272.7,11,526099576,9818351619
273.7,11,526099576,9818661785
274.7,11,526083192,9819268034
275.7,11,526083192,9819268034
276.7,11,526083192,9825517410
277.7,11,526083192,9825517410
278.7,11,526083192,9825517410
279.7,11,525902968,9827066161
280.7,11,525902968,9827066161
281.7,11,525902968,9832340202
282.7,11,525902968,9832487410
283.7,11,525902968,9832487410
284.7,11,525902968,9832487410
285.7,11,525902968,9832705619
286.7,11,525902968,9838278494
287.7,11,525902968,9838278494
288.8,11,525902968,9838377160
289.8,11,525935736,9839432993
290.8,11,525935736,9839432993
291.8,11,525935736,9845765702
292.8,11,525935736,9845765702
293.8,11,525935736,9845765702
294.8,11,525935736,9845873701
295.8,11,525935736,9845873701
296.8,11,525935736,9852947034
297.8,11,525968504,9854547368
298.8,11,525968504,9854547368
299.8,11,525968504,9854547368
300.8,11,525968504,9854610868
301.8,11,525968504,9858853244
302.8,11,525968504,9858853244
303.8,11,525968504,9858895952
304.9,11,525968504,9858895952
305.9,10,522887832,9828130869
306.9,10,522887832,9846302161
307.9,10,522920600,9847608118
308.9,10,522920600,9849476910
309.9,10,522953368,9851574786
310.9,10,522953368,9851574786
311.9,10,522953368,9858430870
312.9,10,522953368,9858473370
313.9,10,522920600,9861492785
314.9,10,522936984,9861768702
315.9,10,522936984,9861837869
316.9,10,522936984,9868097786
317.9,10,522936984,9868097786
318.9,10,522936984,9868202077
319.9,10,522887832,9868838660
321.0,10,522904216,9868838660
322.0,10,522887832,9886549243
323.0,10,522887832,9886549243
324.0,10,522887832,9886549243
325.0,10,522871448,9887557785
326.0,10,522871448,9887557785
327.0,10,522871448,9893059660
328.0,10,522871448,9893122743
329.0,10,522887832,9893122743
