name	point	median_mib	peak_mib	procs_median	samples
chrome-1	60s	5840.7	6321.5	111	28
chrome-1	300s	6209.8	6321.5	112	29
idaten-1	60s	489.2	532.6	11	30
idaten-1	300s	480.5	532.6	11	30
chromeext-1	60s	5795.5	6393.4	109	29
chromeext-1	300s	6065.1	6393.4	114	30
chromeext-2	60s	5627.4	6138.4	103	30
chromeext-2	300s	5700.3	6138.4	106	30
idaten-2	60s	525.0	525.1	11	30
idaten-2	300s	501.6	525.1	11	30
chrome-2	60s	5898.9	6005.6	109	29
chrome-2	300s	5487.6	6005.6	100	30
chrome-3	60s	6343.2	6456.1	112	29
chrome-3	300s	6078.4	6456.1	110	29
idaten-3	60s	549.0	549.8	11	30
idaten-3	300s	511.6	549.8	11	30
chromeext-3	60s	4949.1	6274.1	87	27
chromeext-3	300s	5605.8	6274.1	99	29
chromeext-4	60s	5609.1	5846.1	103	29
chromeext-4	300s	5379.7	5846.1	103	30
idaten-4	60s	539.4	556.5	11	30
idaten-4	300s	511.0	556.5	10	30
chrome-4	60s	6073.3	7425.7	110	29
chrome-4	300s	6997.4	7425.7	118	29
chrome-5	60s	4886.4	4932.1	85	30
chrome-5	300s	4578.0	4932.1	84	30
