t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,61,3243684208,46449566082
1.0,61,3252924688,47219711705
2.0,61,3257528640,48171798837
3.0,62,3310826992,49678566372
4.0,64,3299129944,50402342081
5.0,65,3345497648,51615993000
6.0,65,3411033960,53815487994
7.1,65,3417309032,54143704077
8.1,67,3481650992,55131580954
9.1,66,3464791088,55509393125
10.1,66,3458319408,55864919872
11.1,66,3458303096,56429393707
12.1,66,3458041000,57116180167
13.1,66,3452585128,57524009296
14.1,66,3455042728,58269518919
15.1,66,3435955320,58820357252
16.1,66,3417621624,59292955003
17.1,66,3422209144,59725972211
18.1,67,3425667512,60327544743
19.1,61,3186961264,59122838795
20.1,60,2856723608,54195286005
21.2,59,2823364560,54253014043
22.2,57,2815269736,54361284088
23.2,57,2812156800,54617429669
24.2,57,2809387928,55039833299
25.2,57,2812369840,55278328382
26.2,57,2819677128,55795277544
27.2,57,2823183304,56122367461
28.2,57,2812107720,56300003006
29.2,57,2816941000,56652321921
30.2,57,2818235360,56984516673
31.2,57,2820316128,57350911838
32.2,57,2811288544,57483536255
33.2,57,2815941600,57839235842
34.2,57,2818055136,58308160135
35.2,57,2819005408,58488366301
36.3,57,2816777184,59019864051
37.3,57,2817219552,59236329676
38.3,57,2817252320,59677960879
39.3,57,2817350624,59823776592
40.3,57,2816449504,60139536296
41.3,57,2812533728,60456306671
42.3,57,2812566496,60611783208
43.3,63,2920557880,61529974293
44.3,64,3045670040,62908808042
45.3,64,3051175088,63373222247
46.3,66,3137832368,64102464542
47.3,65,3115893112,64449555873
48.4,65,3107488120,64737782585
49.4,64,3077422184,64957896081
50.4,66,3140044160,66110493789
51.4,67,3175778936,66653937498
52.4,68,3191213528,66854322625
53.4,67,3170404984,67068253411
54.4,67,3167996536,67418007991
55.4,67,3163900536,67640561495
56.4,67,3158772344,67836044917
57.4,67,3159231096,68023309367
58.4,67,3159526056,68197438035
59.4,67,3159870120,68356934954
60.4,67,3160902336,68802346035
61.4,67,3158199024,69005282868
62.4,67,3175664368,69425637201
63.4,67,3176483568,69602935250
64.5,67,3174812400,69787428794
65.5,67,3176090376,69920261919
66.5,67,3176516360,70036567418
67.5,67,3171453728,70323634292
68.5,67,3161918240,70509934039
69.5,67,3161967392,70636366163
70.5,67,3161688864,70767977911
