t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,11,526033968,10369287284
1.0,11,526033968,10369287284
2.0,11,526033968,10376915867
3.0,11,526033968,10377183951
4.0,11,526033968,10377183951
5.0,11,526033968,10377183951
6.0,11,526033968,10382881242
7.0,11,526033968,10382881242
8.1,11,526033968,10382881242
9.1,11,526017584,10383432951
10.1,11,526017584,10383432951
11.1,11,526017584,10392486410
12.1,11,526017584,10392524285
13.1,11,526017584,10392524285
14.1,11,526017584,10392524285
15.1,11,526017584,10392728785
16.1,11,532735048,10631829994
17.1,11,528802888,10655158575
18.1,11,526230600,10667097199
19.1,11,526574664,10681814286
20.1,11,526509128,10689525369
21.1,11,526410824,10714020409
22.2,11,526214216,10721603327
23.2,11,526214216,10726931826
24.2,11,526214216,10732600160
25.2,11,526214216,10738293493
26.2,11,526214216,10752538868
27.2,11,526214216,10758607742
28.2,11,526197832,10764585201
29.2,11,526165064,10776170450
30.2,11,526148680,10781914410
31.2,11,526132296,10794941076
32.2,11,526148680,10800447784
33.2,11,526148680,10805880284
34.2,11,526148680,10811492159
35.2,11,526066760,10829168450
36.2,11,526050376,10847999325
37.2,11,526050376,10858208659
38.2,11,526050376,10864258075
39.3,11,526050376,10871946034
40.3,11,526033992,10885488700
41.3,11,526033992,10900212284
42.3,11,526033992,10906222160
43.3,11,526033992,10911924159
44.3,11,526033992,10916943659
45.3,11,525968456,10938796783
46.3,11,557376656,11481449869
47.3,11,562914448,11871188158
48.3,11,562881680,11876306036
49.3,11,562996368,11886592535
50.3,11,562979984,11904128702
51.3,11,562848936,11939720785
52.3,11,562832552,11957410075
53.4,11,562783400,11957940034
54.4,11,562783400,11958410701
55.4,11,562783400,11960776368
56.4,11,562652328,11975418910
57.4,11,562586792,11976249910
58.4,11,562586792,11976249910
59.4,11,562586792,11976249910
60.4,11,562570408,11976797035
61.4,11,562472104,11995157618
62.4,11,562455720,11995528743
63.4,11,562455720,11995688077
64.4,11,562455720,11995688077
65.4,11,562455720,11995688077
66.5,11,562455720,12002248453
67.5,11,562439336,12002425579
68.5,11,562439336,12002425579
69.5,11,562439336,12002477912
70.5,11,562439336,12002477912
71.5,11,562439336,12006700620
72.5,11,562422928,12006848120
73.5,11,562422928,12006848120
74.5,11,562422928,12006848120
75.5,11,584131728,12400186995
76.5,11,576971920,13117933743
77.5,11,570270864,13253163242
78.5,11,577152144,13263898701
79.5,11,577234064,13271172618
80.5,11,577217680,13271347493
81.5,11,577037456,13281955368
82.6,11,576988304,13282164994
83.6,11,578479248,13282164994
84.6,11,579527824,13282250869
85.6,11,579921040,13282306202
86.6,11,579921040,13291133618
87.6,11,579888272,13296759369
88.6,11,579855504,13301869827
89.6,11,579839120,13303795659
90.6,11,579822736,13304046410
91.6,11,579822736,13311221618
92.6,11,579822736,13311221618
93.6,11,579822736,13311339160
94.6,11,579822736,13311339160
95.6,11,579822736,13311339160
96.6,11,579822736,13319052117
97.6,11,579822736,13319052117
98.6,11,579822736,13319052117
99.7,11,579806352,13319317036
100.7,11,579806352,13319317036
101.7,11,579806352,13324070161
102.7,11,579806352,13324217660
103.7,11,579806352,13324217660
104.7,11,579806352,13324217660
105.7,11,587916456,14020048659
106.7,11,610575528,14734231994
107.7,11,609248424,14796968659
108.7,11,606512296,14805846161
109.7,11,606512296,14811705703
110.7,11,606512296,14817360369
111.7,11,606626984,14847145452
112.7,11,606168232,14859543243
113.8,11,605988008,14865763326
114.8,11,605988008,14871748119
115.8,11,606004392,14883711826
116.8,11,605906088,14907597327
117.8,11,605725864,14924485159
118.8,11,605643944,14932304076
119.8,11,605643944,14938017410
120.8,11,605627560,14943538200
121.8,11,605627560,14958189908
122.8,11,605627560,14964667077
123.8,11,605611176,14971137536
124.8,11,605611176,14977704203
125.9,11,605611176,14984168869
126.9,11,605611176,14998729326
127.9,11,605594792,15005135659
128.9,11,605594792,15011053993
129.9,11,605594792,15017699159
130.9,11,605594792,15023485410
131.9,11,605594792,15034750993
132.9,11,605594792,15039744493
133.9,11,605578408,15045507910
135.0,11,605578408,15051045743
136.0,11,639935632,15646596868
137.0,11,623568016,15694879325
138.0,11,623256720,15730516909
139.0,11,623256720,15743469284
140.0,11,623256720,15754175034
141.0,11,623174800,15765171159
142.0,11,623174800,15785388825
143.0,11,623109264,15799283741
144.0,11,623076496,15814933991
145.0,11,623076496,15830661701
146.0,11,623076496,15843127992
147.0,11,622945424,15859249993
148.0,11,622929040,15870008992
149.0,11,623027344,15881521534
150.0,11,622912656,15894388869
151.0,11,622814352,15911010411
152.1,11,622814352,15922096035
153.1,11,622814352,15932267618
154.1,11,622814352,15942741744
155.1,11,622814352,15952369160
156.1,11,622814352,15968501368
157.1,11,622814352,15978351077
158.1,11,622814352,15987904118
159.1,11,622814352,15997341827
160.1,11,622814352,16007526701
161.1,11,622814352,16023127492
162.1,11,622814352,16032777617
163.1,11,622814352,16042397451
164.1,11,622814352,16051855826
165.1,11,622814352,16061837244
166.1,11,642049240,16920704077
167.1,11,622519512,16954505661
168.1,11,625517760,16959435369
169.2,11,625517760,16960296745
170.2,11,625517760,16963299036
171.2,11,625435840,16983036576
172.2,11,625321152,16984932116
173.2,11,625272000,16986931991
